Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
A1BG,8,4,5,1,4,1,4,1,10,5,13,2,7,5,25,5
A1BG-AS1,1,1,1,2,2,3,1,1,0,1,10,1,4,2,7,2
A1CF,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
A2M,0,0,2,0,1,0,0,0,1,0,6,2,0,0,8,0
A2M-AS1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
A2ML1,2,2,5,3,1,1,4,5,5,3,5,6,0,17,24,10
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3GALT2,3,0,0,0,1,1,1,1,0,8,5,6,6,8,10,0
A4GALT,0,0,1,1,4,0,0,0,11,0,8,6,2,1,5,0
A4GNT,0,2,0,0,1,1,0,1,0,0,1,0,1,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1
AAAS_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AACS,44,25,46,21,36,26,48,26,81,75,129,86,82,63,151,60
AACSP1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
AADAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AADACL2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADAT,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
AAGAB,420,288,140,252,113,91,104,81,396,277,264,383,1140,981,1026,1195
AAK1,264,138,193,90,188,151,289,134,729,346,950,455,470,299,1206,286
AAMDC,6,7,6,3,4,8,5,4,12,9,21,10,9,8,14,9
AAMP,215,165,162,107,139,143,180,97,415,404,471,312,441,384,717,364
AANAT,4,7,6,5,0,0,8,1,6,0,5,7,32,26,29,24
AAR2,48,51,48,19,28,36,65,13,73,77,122,56,97,85,251,62
AARD,0,0,0,0,0,0,1,2,3,1,3,1,0,0,1,1
AARS1,238,202,181,109,190,239,271,170,138,94,250,97,190,107,699,112
AARS2,37,24,36,19,28,26,50,16,73,49,97,23,74,45,181,37
AARSD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AASDH,28,11,11,2,33,11,11,17,43,35,87,54,47,15,105,24
AASDHPPT,70,56,32,31,50,54,53,35,232,121,219,155,166,118,285,132
AASS,1,3,7,3,2,3,7,1,7,1,19,9,10,4,41,9
AATBC,14,2,7,5,0,0,3,1,12,9,15,6,12,4,13,4
AATF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AATF_1,1,3,0,0,0,3,0,0,4,2,0,2,1,0,1,0
