"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"A1BG",5.91407078463126,-0.302585787829166,0.724332461563586,-0.417744342392148,0.676134048147819,0.851375060882673,"insignificant"
"A1BG-AS1",2.16094568104483,0.00110214578645868,1.09407617571224,0.00100737573025131,0.99919623059385,0.999633597628252,"insignificant"
"A2ML1",6.21454507518894,0.519236378582919,0.968718559339466,0.536003335103817,0.591956245488068,0.797065800532036,"insignificant"
"A3GALT2",2.09173665411851,1.66404449699649,1.59720972591445,1.04184470580016,0.297483683470191,0.541276180125052,"insignificant"
"AACS",52.1525658849454,-0.0902746855195818,0.320388293437677,-0.281766491999316,0.778122565817308,0.906960583291141,"insignificant"
"AAGAB",565.790104900462,0.665843183587733,0.368030995495545,1.80920409350628,0.0704193019242768,0.197378838732744,"insignificant"
"AAK1",280.109955514404,0.178777968976153,0.320846724908933,0.557206775375052,0.57738616107479,0.787049603053214,"insignificant"
"AAMDC",7.28095420871855,-0.543002133067621,0.595200518775146,-0.912301175719835,0.361610195592203,0.609457013029888,"insignificant"
"AAMP",266.720289207063,0.128369935898729,0.180665806184706,0.710538084708118,0.477370522531307,0.711122066105995,"insignificant"
"AANAT",13.2335598245914,0.945518979789167,0.537284187936734,1.75981166209288,0.0784397450728102,0.213787320573037,"insignificant"
"AAR2",65.0811204298189,0.0524536570806395,0.324277425195271,0.161755500090866,0.87149839723058,0.951384334619311,"insignificant"
"AARS1",210.234019272245,-1.05105265581467,0.385116459773049,-2.72918134019527,0.0063491779007712,0.0294949178961784,"down"
"AARS2",45.0383926130307,-0.048323532622142,0.384014961549465,-0.125837629938065,0.899860454137851,0.962142345506249,"insignificant"
"AASDH",21.4208797169801,0.418486912117161,0.584338298612141,0.716172315097447,0.473884955495838,0.70843631124817,"insignificant"
"AASDHPPT",86.6779353322494,0.461964870764447,0.264080337045409,1.74933459996687,0.0802331984565528,0.217052915472842,"insignificant"
"AASS",7.01003933572821,0.455715138838028,0.815297936997381,0.558955344001431,0.576192197090609,0.786225924200653,"insignificant"
"AATBC",7.7453163423026,-1.21027992550817,0.696885273855671,-1.73669895306013,0.0824403226609423,0.22130247017658,"insignificant"
"AATK",6912.63594618597,1.0763295312247,0.411625952546583,2.61482427083577,0.0089273373383973,0.038843750360897,"up"
"ABALON",6.03868264739079,1.19548270668683,0.818814451147877,1.46001661916313,0.144285506491435,0.334991121514508,"insignificant"
"ABAT",192.584608168333,0.528630641200432,0.500917898626352,1.0553239216448,0.291277204129419,0.533753004815307,"insignificant"
"ABCA1",3647.25319525788,0.153090902176869,0.272496033551773,0.561809653452378,0.574245714230899,0.784723965572649,"insignificant"
"ABCA10",4.17718920699276,-0.336932805553645,0.907803503565205,-0.371151691120835,0.71052455221338,0.870457085959336,"insignificant"
"ABCA11P",14.1502364040387,0.458283323231235,0.503965461516351,0.909354624922775,0.363162965104491,0.610800512738486,"insignificant"
"ABCA13",16.6607897075649,0.685015217234516,0.664430236398749,1.03098140287435,0.302549540893959,0.547030371929405,"insignificant"
"ABCA2",363.386323142043,0.392186005283384,0.277830925387917,1.41159953570971,0.158067909195618,0.356538626705301,"insignificant"
"ABCA3",5.62502902892159,-0.967323613915767,0.888477159042983,-1.08874336731145,0.276267071823547,0.516777374266915,"insignificant"
"ABCA5",215.223523562302,-1.5086665091664,0.299404798053094,-5.03888554551108,4.68250382845759e-07,7.34464497563656e-06,"down"
"ABCA7",1846.82134196028,-0.362266678276576,0.394300314080417,-0.918758279768178,0.358222018815888,0.6069572992416,"insignificant"
"ABCB1",76.1551146454987,0.448563087105169,0.65192040107581,0.688064196740803,0.49141235561615,0.721993500546352,"insignificant"
"ABCB10",53.4973963842638,-1.06983667222298,0.403134544946926,-2.65379557676911,0.00795920288322115,0.0353916861947346,"down"
"ABCB4",12.4060192652133,0.419021191418164,0.70925461083063,0.590790930393015,0.5546605126505,0.771183935160802,"insignificant"
"ABCB6",31.8413730096103,0.0838299245922125,0.434521682067919,0.192924606646232,0.84701801371969,0.940963272587171,"insignificant"
"ABCB7",48.9318449383432,0.0728084539111302,0.394271940935383,0.184665573051932,0.85349135043055,0.944264162757671,"insignificant"
"ABCB8",74.420441205554,-0.206276598151264,0.314150232923918,-0.656617683301926,0.511426775667683,0.73859367382118,"insignificant"
"ABCB9",2.48847414028212,0.82390213803032,1.06912565613501,0.770631715086517,0.440925257070227,0.680349342015003,"insignificant"
"ABCC1",47.2924980539601,1.0754518545653,0.49316083536492,2.18073248612597,0.0292032087492442,0.100694426029991,"insignificant"
"ABCC1_1",69.3569716799086,0.967262643139243,0.390540542162457,2.47672786488037,0.0132592956989294,0.0539373180491154,"insignificant"
"ABCC10",71.2747892300165,0.515262507426014,0.391955654274484,1.31459388787176,0.188646425387619,0.402259650776559,"insignificant"
"ABCC2",35.6977554078789,0.802508503138916,0.40611840795088,1.97604562469372,0.0481496100351617,0.148123350365982,"insignificant"
"ABCC3",13.6753456731947,0.270916382156986,0.57147810590723,0.474062574500386,0.63545528582047,0.825684164528685,"insignificant"
"ABCC4",19.0924254775944,0.303298753785071,0.465980770980723,0.650882552828811,0.51512230483109,0.741403540391563,"insignificant"
"ABCC5",338.740524587339,0.777718829711586,0.474380915056349,1.63943954115271,0.101121752345078,0.2578653037566,"insignificant"
"ABCD1",68.1032025681896,1.01985791378024,0.385132472099879,2.64807043721764,0.00809526563361251,0.0358671157220068,"up"
"ABCD2",5.02298923814733,0.969722813068318,0.860440813648176,1.12700699186595,0.259739524835006,0.495891725278671,"insignificant"
"ABCD3",76.7329797705939,-1.00868770538729,0.349547509982917,-2.88569558237329,0.00390549713914125,0.0199757189031716,"down"
"ABCD4",92.6057000534768,0.387774515386561,0.37154083662766,1.0436928519251,0.296627518039417,0.540517501265675,"insignificant"
"ABCE1",76.9320127954267,-0.870639133687517,0.439761854022949,-1.97979685077934,0.0477263603973989,0.147010789371965,"insignificant"
"ABCF1_4",2.61667809741232,-0.372324666475398,1.50617920103708,-0.247198119731725,0.804754900396195,0.919793619232861,"insignificant"
"ABCF2",18.5945201067469,0.141192133697814,0.425188624559311,0.332069405300186,0.739836851577456,0.886906173264477,"insignificant"
"ABCF3",386.276147291452,-0.829675954593766,0.262701935382394,-3.15824073920915,0.00158724422447818,0.0094018216762038,"down"
"ABCG1",973.742650994661,-0.0960335188422317,0.387791572713495,-0.247642098486711,0.804411335164524,0.919532505808604,"insignificant"
"ABHD10",29.5269017759824,0.334784342218936,0.423744351207437,0.790062076969252,0.429491515796945,0.670808494317992,"insignificant"
"ABHD11",94.8754528673679,-2.27611597994301,0.381036332966622,-5.97348804567251,2.3223381167524e-09,5.40044876888397e-08,"down"
"ABHD12",103.374411000784,-2.16573373395375,0.296902069184813,-7.29443799398261,2.99908305734972e-13,1.1906285318744e-11,"down"
"ABHD12B",7.90216835271629,-0.837742690003576,0.620254951476207,-1.35064248662546,0.176809983953665,0.384763728682629,"insignificant"
"ABHD13",263.430186460013,0.747291724960949,0.282697466845908,2.64343268901055,0.00820700818587928,0.0362271370778453,"up"
"ABHD14A",3.19977490312468,-0.236786510373044,1.16987597766704,-0.202403087928382,0.839601614544074,0.938193741522553,"insignificant"
"ABHD14B",39.1274133606002,0.524552416897862,0.504546245035303,1.03965181003608,0.298501696922959,0.542511490295401,"insignificant"
"ABHD15",57.9557447374283,0.621114450379222,0.515821132518853,1.20412757683308,0.228540272700007,0.457280618175014,"insignificant"
"ABHD17A",453.073743130534,-0.12356457571997,0.213424706290685,-0.578960973485774,0.562615506643426,0.776173621694247,"insignificant"
"ABHD17B",77.9498266389834,-0.145218953129718,0.256486492169348,-0.566185579214968,0.571267631996127,0.782844611931995,"insignificant"
"ABHD17C",55.6641009624348,-3.68172247730188,0.623982446812959,-5.90036225555154,3.62704320621757e-09,8.24276480912997e-08,"down"
"ABHD18",139.203128529502,-0.376296439748396,0.239619211412392,-1.57039344854857,0.116323605684998,0.287333853227463,"insignificant"
"ABHD2",3859.13728197757,0.692468399609415,0.280810037538155,2.4659674051549,0.0136643767932906,0.0552200970739722,"insignificant"
"ABHD3",352.191079729978,0.312352245514455,0.381540207469753,0.818661413395645,0.412979617599656,0.656674285364471,"insignificant"
"ABHD4",1407.67948804035,-0.215974377198739,0.28786073532741,-0.750273832772266,0.453089799094332,0.689848692890723,"insignificant"
"ABHD5",901.841821137473,-0.378762535308875,0.326759403640981,-1.15914807986684,0.246395830630486,0.479572614873132,"insignificant"
"ABHD6",17.1601103769237,-1.4985245575177,0.621726346148524,-2.41026388346059,0.015940985955753,0.0624944460441295,"insignificant"
"ABHD8",79.7210289830675,-0.18249117839558,0.292924927317652,-0.622996410946223,0.533286880359005,0.75471532939971,"insignificant"
"ABI1",1456.38047776646,0.369043785011661,0.253426261285328,1.45621761193944,0.145332472367114,0.336284133250223,"insignificant"
"ABI2",33.5312897446814,-0.179414000380768,0.50105917219906,-0.358069486271155,0.720291313564741,0.876478607067409,"insignificant"
"ABI3",100.927853161789,0.981629996277338,0.365534883478624,2.6854618824218,0.00724296359226946,0.0327530171036515,"up"
"ABI3BP",2.26382999644625,-0.399175977700901,1.28207681494747,-0.311351061845118,0.755533753154022,0.894807308630436,"insignificant"
"ABITRAM",78.9481018060292,-0.778802673093176,0.303094648865332,-2.56950320966968,0.0101844448358799,0.0432778042308744,"down"
"ABL1",113.551483417593,-0.0952093574932133,0.454746269209297,-0.209368089283638,0.834160901776423,0.935689565135034,"insignificant"
"ABL2",171.240412376455,-1.84013436560752,0.366577300724234,-5.01977171519358,5.17329219896227e-07,8.03567979526189e-06,"down"
"ABLIM1",717.136547978181,0.231061210941118,0.546798606383169,0.422570958015942,0.672608319422181,0.849445473129658,"insignificant"
"ABLIM2",2.45073237099629,0.122568724621077,1.28518630715644,0.0953703941121724,0.924020630943519,0.972694554048841,"insignificant"
"ABLIM3",5.96443264911273,0.994269325571804,1.02562208398216,0.969430495988711,0.332330442829984,0.578307021409279,"insignificant"
"ABR",33.7212875072242,-0.124320496408841,0.616048808140645,-0.201802998019043,0.840070737690287,0.938379196041458,"insignificant"
"ABRACL",177.13026135366,1.14372562529688,0.277237489241221,4.12543638462163,3.70032456972955e-05,0.000362976657210932,"up"
"ABRAXAS1",22.6726718960422,0.721958186522386,0.429204301911672,1.68208515922788,0.092552327742235,0.241596458076035,"insignificant"
"ABRAXAS2",73.9139477596543,0.212356722378631,0.279688739108838,0.759260895005125,0.447696505116902,0.685687955711786,"insignificant"
"ABT1",10.8246460140357,0.196188656689597,2.78585682267125,0.0704230939268011,0.943856910582681,0.979192799228475,"insignificant"
"ABT1_1",22.4362367756978,0.0883538418613308,0.403158506582173,0.219154105441955,0.826530004969024,0.931942158112936,"insignificant"
"ABTB1",4859.71754947295,0.855783195102337,0.404677866014689,2.11472696426464,0.0344532248228175,0.114302706578551,"insignificant"
"ABTB2",366.005470997246,-1.08478888762621,0.277622013563164,-3.90743109202111,9.32826330429758e-05,0.0008213697556712,"down"
"ABTB3",119.589258413305,-0.00707477986800222,0.483414266639955,-0.0146350249800788,0.988323356347874,0.996430092690054,"insignificant"
