Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
A1BG,10,5,13,2,7,5,25,5
A1BG-AS1,0,1,10,1,4,2,7,2
A1CF,0,0,0,0,0,0,0,1
A2M,1,0,6,2,0,0,8,0
A2M-AS1,1,0,1,0,0,0,1,1
A2ML1,5,3,5,6,0,17,24,10
A2ML1-AS1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0
A3GALT2,0,8,5,6,6,8,10,0
A4GALT,11,0,8,6,2,1,5,0
A4GNT,0,0,1,0,1,0,0,0
AA06,0,0,0,0,0,0,0,0
AAAS,0,0,0,3,0,0,0,1
AAAS_1,0,0,0,0,0,0,0,0
AACS,81,75,129,86,82,63,151,60
AACSP1,0,0,0,0,1,0,0,1
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,1,0
AADACL2_1,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,1,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,0,0,0,0,0,0,0,0
AAGAB,396,277,264,383,1140,981,1026,1195
AAK1,729,346,950,455,470,299,1206,286
AAMDC,12,9,21,10,9,8,14,9
AAMP,415,404,471,312,441,384,717,364
AANAT,6,0,5,7,32,26,29,24
AAR2,73,77,122,56,97,85,251,62
AARD,3,1,3,1,0,0,1,1
AARS1,138,94,250,97,190,107,699,112
AARS2,73,49,97,23,74,45,181,37
AARSD1,0,0,0,0,0,0,0,0
AASDH,43,35,87,54,47,15,105,24
AASDHPPT,232,121,219,155,166,118,285,132
AASS,7,1,19,9,10,4,41,9
AATBC,12,9,15,6,12,4,13,4
AATF,0,0,0,0,0,0,0,0
AATF_1,4,2,0,2,1,0,1,0
AATK,14107,19153,9787,10717,13505,18309,10107,15019
ABALON,7,8,6,4,26,8,19,6
ABAT,1040,2319,1853,834,157,393,1102,157
ABCA1,3473,1458,3130,2035,7628,4338,8251,5349
ABCA10,6,5,10,1,1,8,13,4
ABCA11P,22,15,27,20,21,17,40,31
ABCA12,0,0,0,0,0,0,0,1
ABCA13,11,4,18,12,11,24,75,36
ABCA17P,0,0,1,0,0,0,0,0
ABCA2,853,985,1139,504,608,651,1285,404
ABCA3,6,2,21,0,7,2,20,2
ABCA4,1,0,0,0,0,0,1,0
ABCA5,190,73,158,127,223,99,298,152
ABCA6,3,1,3,0,9,3,11,2
ABCA7,4144,4242,4465,2206,1918,3693,4358,1277
ABCA8,0,1,0,0,0,0,0,0
ABCA9,3,2,0,3,2,2,1,1
ABCA9-AS1,0,0,0,0,0,0,0,0
ABCB1,98,35,347,82,105,43,550,62
ABCB10,53,39,86,53,52,30,146,35
ABCB11,0,0,0,0,0,0,0,0
ABCB11_1,0,0,0,0,0,0,0,0
ABCB4,10,2,24,32,11,9,48,30
ABCB5,0,0,0,0,2,0,0,0
ABCB6,105,109,67,72,30,82,70,36
ABCB7,74,59,104,57,99,36,150,68
ABCB8,77,49,128,47,77,109,236,77
ABCB9,1,5,6,0,4,4,8,6
ABCC1,52,30,20,23,161,108,100,52
ABCC1_1,47,70,56,28,132,213,131,105
ABCC10,171,112,243,113,114,83,351,92
ABCC11,1,1,2,2,3,1,2,1
ABCC12,0,1,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,1,0
ABCC2,117,87,89,96,50,75,107,72
ABCC3,57,32,24,10,17,39,23,16
ABCC4,37,28,45,16,34,23,71,26
ABCC5,2173,3591,1333,1377,383,1162,679,493
ABCC5-AS1,1,1,0,1,0,2,1,0
ABCC6,4,2,1,0,1,1,0,2
