"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"A1BG",7.75706343644525,0.178614005755007,0.645464470714411,0.276721669214905,0.7819938317485,0.91475900673869,"insignificant"
"A1BG-AS1",2.97869772545933,0.147191332477679,1.07134831289957,0.137388868499088,0.89072342926435,0.962102945574576,"insignificant"
"AACS",87.0603248601189,-0.299705299320952,0.259780308212266,-1.15368751920974,0.24862830258609,0.508527153793489,"insignificant"
"AAGAB",715.399663083063,1.61673527197937,0.356413444033353,4.5361231430655,5.72977326025131e-06,7.14164004150661e-05,"up"
"AAK1",541.331731959622,-0.443292301329619,0.333395338680133,-1.32962957156076,0.18364034991882,0.417513447439966,"insignificant"
"AAMDC",11.2323408857211,-0.544111004212828,0.48910771787975,-1.11245638603192,0.265941972441729,0.529269770485165,"insignificant"
"AAMP",424.377393130644,0.0480799608463632,0.192211428601409,0.250141009804715,0.802478302565316,0.925315947397208,"insignificant"
"AANAT",15.7602682497051,2.50697544102033,0.591749930976574,4.23654538815583,2.26985054191808e-05,0.000245853770630797,"up"
"AAR2",93.1558853009881,0.289668994129404,0.30501551769232,0.949686089156955,0.342271780185142,0.614082703099722,"insignificant"
"AARS1",177.539709546539,0.533455399930165,0.425284049627686,1.25435082833974,0.209714516736642,0.455670287328707,"insignificant"
"AARS2",63.9888004883351,0.176889434948899,0.412341365695816,0.428987847606322,0.667932068492009,0.858444157859435,"insignificant"
"AASDH",47.2079232063303,-0.545239560376721,0.4388228759516,-1.24250486986202,0.214050344837524,0.461724224241795,"insignificant"
"AASDHPPT",171.188239295166,-0.263480421511317,0.245449118375822,-1.07346248890528,0.283063660276927,0.549562493618543,"insignificant"
"AASS",10.5425868660781,0.465574373469867,0.717156732031789,0.649194733417394,0.516212515407261,0.763227042721793,"insignificant"
"AATBC",8.91306457031038,-0.56336138697274,0.559694369404384,-1.00655182143829,0.314150196751449,0.584240746907347,"insignificant"
"AATK",14522.291685694,0.0160804986597345,0.430881838167039,0.0373199732161851,0.970229880261469,0.98997675706462,"insignificant"
"ABALON",9.90849741626632,1.02205005765805,0.606469086661483,1.685246750637,0.0919409746541161,0.261279804163722,"insignificant"
"ABAT",971.579428319708,-2.18321318012229,0.484436878593284,-4.50670309506975,6.58426627440506e-06,8.04166535231282e-05,"down"
"ABCA1",4262.33777199515,1.21190470875316,0.29770839511445,4.07077774305713,4.68564385840772e-05,0.000465089175436673,"up"
"ABCA10",5.46396000357369,0.0204506903008272,0.781199453081311,0.0261785773404767,0.979114902832021,0.992947761721248,"insignificant"
"ABCA11P",23.5703278623949,0.204947935854942,0.398275302700943,0.514588613617433,0.6068405234742,0.821466273504592,"insignificant"
"ABCA13",21.3652864569026,1.44426748335821,0.549923258741682,2.6263073263403,0.00863168444039344,0.040897557960604,"up"
"ABCA2",768.043931221074,-0.492175507538235,0.26914823061564,-1.82864106671795,0.0674533963804941,0.207646010846153,"insignificant"
"ABCA3",6.17036698166774,-0.201637679123408,0.96699249495409,-0.208520417868374,0.834822641854062,0.938254103380362,"insignificant"
"ABCA5",156.755816212217,0.297677349963411,0.336177589008126,0.885476485335303,0.375899696596599,0.647696457142417,"insignificant"
"ABCA6",3.45279663565412,1.605744781276,0.943122128311271,1.70258414374308,0.0886459194942731,0.254458225800064,"insignificant"
"ABCA7",3199.04203953378,-0.636458610780218,0.343969730418575,-1.85033319648713,0.0642655408643012,0.200411023169243,"insignificant"
"ABCA9",1.86718548656111,-0.588272817365309,1.18121087860768,-0.498025228195254,0.618466260613733,0.827041011471174,"insignificant"
"ABCB1",134.694741399338,-0.00506673235058177,0.645142544614711,-0.00785366333824365,0.993733747693841,0.997758358146407,"insignificant"
"ABCB10",56.0109770089619,-0.155098909633045,0.36874439217692,-0.420613609111187,0.674037254473329,0.862267356768343,"insignificant"
"ABCB4",19.8081223893297,0.250579576473722,0.710444947285902,0.352707943706273,0.724307403422749,0.886480858316055,"insignificant"
"ABCB6",72.5736290844139,-0.880029615968184,0.412004482174223,-2.13597097615081,0.0326817796031172,0.118564361013652,"insignificant"
"ABCB7",76.3015216602644,0.0351241183397696,0.33903997212768,0.103598753030047,0.917487777277731,0.971566215970625,"insignificant"
"ABCB8",90.9348287187963,0.497370641304981,0.333167587118145,1.49285422872966,0.135475348575276,0.341303786114894,"insignificant"
"ABCB9",4.07649727918804,0.724764419541403,0.877146525674912,0.826275198415384,0.408647999222047,0.678017356977785,"insignificant"
"ABCC1",66.5108007214375,1.61680860897161,0.452443269954655,3.57350571074613,0.000352233557684561,0.00272403150977208,"up"
"ABCC1_1",97.9033828607331,1.43898497805128,0.420185432028421,3.4246427133484,0.000615608422882221,0.00439299060739088,"up"
"ABCC10",145.645504529168,-0.316291808292272,0.325569914942337,-0.971501953269522,0.331298380925367,0.603723059263027,"insignificant"
"ABCC11",1.60492731238484,0.0283160701230456,1.15256894608571,0.0245677885207744,0.98039971257731,0.993142009997181,"insignificant"
"ABCC2",86.7736045859099,-0.538631523838037,0.306192009399889,-1.75912991620425,0.0785554446465616,0.231995104036471,"insignificant"
"ABCC3",27.2831754569115,-0.448323014344684,0.548128213934424,-0.817916324953709,0.413404967969253,0.682748712838946,"insignificant"
"ABCC4",32.4197433790575,0.05070629952423,0.357210163820861,0.141950886788482,0.887118799399771,0.96142289132226,"insignificant"
"ABCC5",1477.94101134797,-1.78215506625491,0.491321640271652,-3.6272675986133,0.000286436391936419,0.00228694399785942,"down"
"ABCC6P1",2.70542916886086,1.4342229484718,1.03939162873098,1.37986771186802,0.167627379610573,0.393468431531198,"insignificant"
"ABCD1",223.840231731426,-1.11935218042731,0.383206723286594,-2.9210139394923,0.00348894216659799,0.0191843226653605,"down"
"ABCD2",9.34948000469691,0.187389105055417,0.756686919575729,0.247644171198949,0.804409731320767,0.9260270066349,"insignificant"
"ABCD3",89.6280629139862,-0.360238626986543,0.329312157411437,-1.09391232263699,0.273993433734918,0.539316585500791,"insignificant"
"ABCD4",172.745580155443,-0.180000595979545,0.304702376801959,-0.590742342966807,0.554693072203587,0.789732509577988,"insignificant"
"ABCE1",71.5464755657401,0.477072286360743,0.559975436259033,0.851952166951944,0.394240641100242,0.665012625961869,"insignificant"
"ABCF1_4",1.93389116498822,3.44654336455435,1.49107650065435,2.31144636981527,0.0208082122073782,0.0832961437715885,"insignificant"
"ABCF2",31.8269547165153,-0.164657145155825,0.346268810908705,-0.475518267798128,0.634417615745481,0.837182257458283,"insignificant"
"ABCF3",559.398691866703,-0.671015917437513,0.305619301011864,-2.19559404532328,0.0281210128379585,0.105159136807256,"insignificant"
"ABCG1",1522.69918796127,-0.139233361314625,0.384334835287566,-0.362270990113212,0.717149534483547,0.882645580902827,"insignificant"
"ABHD10",64.1489137320715,-0.593150385199378,0.349057352424263,-1.69929205352601,0.0892641690952221,0.255512009851685,"insignificant"
"ABHD11",88.331295638127,-1.32066665876614,0.42482956848418,-3.10869759719965,0.00187913943666092,0.0113742315000955,"down"
"ABHD12",79.0100003175833,-0.791001431454811,0.306772381191311,-2.57846364259735,0.00992407424910417,0.0455806634983609,"down"
"ABHD12B",15.2339252593707,-1.33801924376059,0.475676251241015,-2.81287796115482,0.00491002820383685,0.0256243111021122,"down"
"ABHD13",565.250112075262,-0.271003677100412,0.321218832184997,-0.8436730662925,0.398852122149578,0.66926512584008,"insignificant"
"ABHD14B",61.5456640683451,0.4497998350534,0.448158249667629,1.00366295920467,0.315541096656957,0.585962488053466,"insignificant"
"ABHD15",113.751047717059,-0.149726914666941,0.455762586758528,-0.328519538498821,0.742518873724618,0.895692989906998,"insignificant"
"ABHD17A",888.557520837856,-0.719794343152222,0.283156255139684,-2.54203935137205,0.0110207764878086,0.0497684021434008,"down"
"ABHD17B",149.090656578682,-0.681221352460431,0.230579330914558,-2.95439035996188,0.00313287451136521,0.0174697578684603,"down"
"ABHD17C",61.3780878473462,-3.14131052893964,0.750747926202843,-4.18424136690974,2.8611998568292e-05,0.000301830782491962,"down"
"ABHD18",235.930489576691,-0.598071326179212,0.257034400647419,-2.32681432785957,0.0199751494993832,0.0804918501899107,"insignificant"
"ABHD2",16964.6929543818,-1.84256581406615,0.304390773499232,-6.05329062009431,1.41916497419642e-09,3.48003932802948e-08,"down"
"ABHD3",1155.89673270252,-1.49156283089982,0.35400369290676,-4.21341037053158,2.51543433440185e-05,0.000268766840384804,"down"
"ABHD4",2031.45988153192,-0.0115205728252711,0.301919583199239,-0.0381577528134985,0.969561904717004,0.98997675706462,"insignificant"
"ABHD5",2129.76977636613,-1.32415728050114,0.334552860511832,-3.95799120795235,7.5582739154077e-05,0.000712173398998319,"down"
"ABHD6",12.0054056643537,0.363710260282727,0.649000256413554,0.560416204290318,0.575195581346514,0.802660363429471,"insignificant"
"ABHD8",114.342423108555,0.0287490200631116,0.345691787598036,0.083163734559238,0.93372134844327,0.978239335041044,"insignificant"
"ABI1",2365.47018004173,0.22272693635359,0.26919345580302,0.827386147591077,0.408018229524993,0.677193873700102,"insignificant"
"ABI2",45.5574602394537,0.169867137158343,0.577912146851211,0.293932456834268,0.768809516055921,0.908556452709355,"insignificant"
"ABI3",302.937767867401,-0.946118737661141,0.313608692086252,-3.01687664129197,0.00255393721018807,0.0146981692504701,"down"
"ABITRAM",123.904103868556,-0.809946286807409,0.312141822736177,-2.59480219506496,0.0094645370978969,0.0439599911323494,"down"
"ABL1",174.920629249444,-0.105599852231752,0.46069383531849,-0.229219156272729,0.818698584360267,0.931472387472338,"insignificant"
"ABL2",124.55451513722,-0.219412176158237,0.370229269088827,-0.59263865522635,0.553423003735698,0.788961175286851,"insignificant"
"ABLIM1",1141.08152975198,0.120934386369926,0.51968149560313,0.232708663658637,0.815987641266889,0.930402659269799,"insignificant"
"ABLIM2",2.63270757204293,1.31390643163405,1.02990966512568,1.27574920026964,0.202044190316128,0.443643194309273,"insignificant"
"ABLIM3",11.209046483539,0.357990352548662,0.780082790517315,0.458913280616355,0.646296441415309,0.84405502835185,"insignificant"
"ABO",3.29395311564938,-0.834147563760968,0.891033210798178,-0.936157657932578,0.349192020242232,0.620715936927659,"insignificant"
"ABO_1",2.65735414995758,-0.393976080583318,0.988783934690772,-0.398445066470996,0.690302143733368,0.868669927609886,"insignificant"
"ABR",42.6700566839266,0.516539674014492,0.749058383609743,0.689585331820553,0.490454994256098,0.744655977117566,"insignificant"
"ABRACL",298.468260101304,0.797868012310774,0.261109524998626,3.0556832896654,0.002245483085989,0.0131971227740746,"up"
"ABRAXAS1",51.7834948880812,-0.446579027317839,0.300606450368085,-1.48559362838361,0.137386641401115,0.345233213409966,"insignificant"
"ABRAXAS2",123.926934727113,-0.0399448949927237,0.254868839417912,-0.156727260515459,0.875459801792949,0.95590549608755,"insignificant"
"ABT1_1",39.4215251582545,-0.293445035332563,0.380756523334258,-0.770689449422652,0.44089102709059,0.707504430425221,"insignificant"
"ABTB1",13923.4198966503,-0.896366335782878,0.415554940134637,-2.15703448379765,0.0310029776824888,0.113701584663693,"insignificant"
"ABTB2",219.388189395782,2.28943298054426,0.276762272134631,8.27220040826436,1.31509003455168e-16,9.31296045992829e-15,"up"
"ABTB3",170.701956238668,0.221996709123241,0.436982673903409,0.508021764662257,0.611438079798216,0.823406804750035,"insignificant"
"ACAA1",4679.64248945221,1.09665564280497,0.399893363826484,2.74237019667278,0.00609975529681757,0.0307460375510192,"up"
"ACAA2",58.1787883133617,-0.434785170896276,0.373790499307133,-1.16317876377865,0.244756980749446,0.503806339936816,"insignificant"
