Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
A1BG,4,1,4,1,10,5,13,2
A1BG-AS1,2,3,1,1,0,1,10,1
A1CF,0,0,0,0,0,0,0,0
A2M,1,0,0,0,1,0,6,2
A2M-AS1,0,0,0,0,1,0,1,0
A2ML1,1,1,4,5,5,3,5,6
A2ML1-AS1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0
A3GALT2,1,1,1,1,0,8,5,6
A4GALT,4,0,0,0,11,0,8,6
A4GNT,1,1,0,1,0,0,1,0
AA06,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,3
AAAS_1,0,0,0,0,0,0,0,0
AACS,36,26,48,26,81,75,129,86
AACSP1,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0
AADACL2_1,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,0,1,0,0,0,0,0,0
AAGAB,113,91,104,81,396,277,264,383
AAK1,188,151,289,134,729,346,950,455
AAMDC,4,8,5,4,12,9,21,10
AAMP,139,143,180,97,415,404,471,312
AANAT,0,0,8,1,6,0,5,7
AAR2,28,36,65,13,73,77,122,56
AARD,0,0,1,2,3,1,3,1
AARS1,190,239,271,170,138,94,250,97
AARS2,28,26,50,16,73,49,97,23
AARSD1,0,0,0,0,0,0,0,0
AASDH,33,11,11,17,43,35,87,54
AASDHPPT,50,54,53,35,232,121,219,155
AASS,2,3,7,1,7,1,19,9
AATBC,0,0,3,1,12,9,15,6
AATF,0,0,0,0,0,0,0,0
AATF_1,0,3,0,0,4,2,0,2
AATK,2259,3353,1503,1296,14107,19153,9787,10717
ABALON,1,1,0,0,7,8,6,4
ABAT,285,658,359,176,1040,2319,1853,834
ABCA1,1276,711,1629,821,3473,1458,3130,2035
ABCA10,0,1,2,1,6,5,10,1
ABCA11P,8,7,6,8,22,15,27,20
ABCA12,0,0,0,0,0,0,0,0
ABCA13,0,5,4,6,11,4,18,12
ABCA17P,0,0,0,0,0,0,1,0
ABCA2,221,302,298,117,853,985,1139,504
ABCA3,2,10,4,1,6,2,21,0
ABCA4,1,0,1,0,1,0,0,0
ABCA5,130,90,126,93,190,73,158,127
ABCA6,1,0,0,0,3,1,3,0
ABCA7,1387,1582,1389,526,4144,4242,4465,2206
ABCA8,0,0,0,0,0,1,0,0
ABCA9,1,0,0,0,3,2,0,3
ABCA9-AS1,0,0,0,0,0,0,0,0
ABCB1,29,13,99,8,98,35,347,82
ABCB10,66,62,50,61,53,39,86,53
ABCB11,0,0,1,0,0,0,0,0
ABCB11_1,0,0,0,0,0,0,0,0
ABCB4,2,4,8,9,10,2,24,32
ABCB5,0,0,0,0,0,0,0,0
ABCB6,34,34,23,15,105,109,67,72
ABCB7,37,31,41,25,74,59,104,57
ABCB8,19,14,60,16,77,49,128,47
ABCB9,1,4,3,3,1,5,6,0
ABCC1,19,9,13,2,52,30,20,23
ABCC1_1,12,11,23,11,47,70,56,28
ABCC10,46,45,59,18,171,112,243,113
ABCC11,0,0,1,2,1,1,2,2
ABCC12,0,0,0,0,0,1,0,0
ABCC13,0,0,0,0,0,0,0,0
ABCC2,30,34,27,23,117,87,89,96
ABCC3,6,14,6,0,57,32,24,10
ABCC4,6,13,15,6,37,28,45,16
ABCC5,373,696,182,183,2173,3591,1333,1377
ABCC5-AS1,0,0,0,0,1,1,0,1
ABCC6,1,1,1,0,4,2,1,0
ABCC6_1,0,1,0,1,2,9,11,0
ABCC6P1,1,0,0,1,1,1,3,1
ABCC6P1_1,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,1,0,0,0
ABCC6P2_1,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,0,0
ABCC9,0,0,1,0,1,1,0,1
ABCD1,52,89,34,31,260,402,250,232
ABCD2,7,0,3,0,14,2,20,1
ABCD3,107,97,68,72,109,66,151,73
ABCD4,43,35,87,27,187,101,264,167
ABCE1,37,31,60,16,67,19,131,31
ABCF1,0,0,5,0,0,1,1,0
ABCF1_1,0,0,0,0,0,0,0,0
ABCF1_2,0,0,0,0,0,0,0,0
ABCF1_3,0,0,0,0,1,0,0,0
ABCF1_4,0,9,1,0,0,1,0,0
ABCF1_5,0,0,0,0,0,0,4,0
ABCF1_6,3,1,0,0,0,0,0,0
ABCF1-DT,0,0,0,0,0,0,0,0
ABCF2,9,5,25,7,31,26,50,25
ABCF2-H2BK1,0,0,0,0,1,0,0,0
ABCF3,426,676,355,306,533,887,661,501
ABCG1,1181,1612,1637,528,1262,1573,2565,878
ABCG2,1,0,2,0,3,0,7,0
ABCG4,1,1,0,0,0,0,0,0
ABCG5,0,0,0,0,1,0,0,0
ABCG8,0,0,1,0,0,0,0,0
ABHD1,0,1,0,3,0,2,2,1
ABHD10,19,19,34,9,63,54,97,82
ABHD11,157,296,100,78,76,164,142,93
ABHD11-AS1,0,0,1,0,0,0,1,0
ABHD12,113,157,146,124,124,63,125,81
ABHD12B,11,1,3,5,27,18,17,20
ABHD13,179,150,99,91,769,624,441,502
ABHD14A,2,1,1,0,2,4,6,1
ABHD14A-ACY1,0,0,0,0,0,0,0,0
ABHD14B,12,9,38,11,47,41,102,21
ABHD15,22,15,47,10,123,56,214,88
