,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_200010,4826,6452,4039,5552,4826,6141,4486,4814
TGME49_200110,1,0,1,1,1,0,1,0
TGME49_200130,1550,1828,1011,1290,1550,1687,1214,1055
TGME49_200230,8,7,4,1,8,7,2,3
TGME49_200240,49,49,27,35,49,42,49,41
TGME49_200250,3284,3801,2711,3258,3284,3653,2958,2661
TGME49_200260,6,5,3,2,6,11,5,3
TGME49_200270,843,1121,675,937,843,1150,741,769
TGME49_200280,1415,1557,807,1296,1415,1514,977,1075
TGME49_200290,2925,3963,2240,2972,2925,3798,2487,2586
TGME49_200295,104,226,55,101,104,235,52,91
TGME49_200300,4,5,2,6,4,6,2,2
TGME49_200310,2200,2599,1715,2056,2200,2498,1910,1883
TGME49_200320,775,936,484,574,775,900,635,537
TGME49_200330,1565,2050,1177,1642,1565,1825,1333,1485
TGME49_200340,98,204,75,122,98,200,84,88
TGME49_200350,1788,3084,1395,2039,1788,2991,1561,1723
TGME49_200360,9945,13449,7943,10579,9945,13543,8858,9177
TGME49_200370,738,956,474,656,738,899,557,571
TGME49_200375,578,942,496,730,578,854,553,676
TGME49_200385,9766,10494,6742,9813,9766,9559,8960,8698
TGME49_200400,2387,2454,1685,2194,2387,2326,1981,1844
TGME49_200410,771,863,496,818,771,773,626,635
TGME49_200430,168,173,122,140,168,123,124,137
TGME49_200440,702,970,516,671,702,879,620,602
TGME49_200450,519,757,422,516,519,667,539,458
TGME49_200460,1338,1491,899,1239,1338,1423,1074,1132
TGME49_200470,2858,3603,1884,2514,2858,3422,2213,2199
TGME49_200480,1,2,0,2,1,1,1,3
TGME49_200590,1568,1815,1026,1337,1568,1763,1202,1229
TGME49_200595,332,372,203,229,332,323,245,205
TGME49_200600,0,1,0,1,0,0,1,0
TGME49_200700,157,206,100,153,157,163,112,146
TGME49_201100,1,2,0,2,1,4,1,0
TGME49_201110,300,408,261,267,300,418,277,264
TGME49_201120,2521,3031,1590,2513,2521,2702,1960,2103
TGME49_201130,3214,3716,2359,3416,3214,3564,2825,2913
TGME49_201140,1234,1504,908,1250,1234,1422,1195,1032
TGME49_201150,2740,3247,2109,2739,2740,3150,2540,2380
TGME49_201160,192,260,197,205,192,218,167,185
TGME49_201170,8395,12172,8050,9668,8395,11285,8931,7865
TGME49_201180,1608,1944,957,1552,1608,1639,1201,1380
TGME49_201190,57,73,43,52,57,69,49,59
TGME49_201200,510,603,366,485,510,549,417,364
TGME49_201210,435,459,309,399,435,497,417,315
TGME49_201215,61,69,49,56,61,77,44,54
TGME49_201220,404,406,298,411,404,354,335,372
TGME49_201230,279,296,255,346,279,276,243,319
TGME49_201240,392,450,327,482,392,458,379,461
TGME49_201250,1162,1246,847,1250,1162,1163,998,1056
TGME49_201260,11209,13237,7842,10265,11209,12565,9349,9071
TGME49_201270,2020,2260,1355,1758,2020,2013,1588,1537
TGME49_201380,7021,10244,6781,7523,7021,9548,8047,6257
TGME49_201390,40841,51833,32175,40554,40841,51474,36382,34771
TGME49_201400,1877,2296,1148,1675,1877,2101,1444,1461
TGME49_201520,1666,1506,1029,1392,1666,1352,1177,1370
TGME49_201630,1646,1929,1312,1946,1646,1821,1521,1653
TGME49_201640,6,5,2,2,6,2,4,4
TGME49_201650,8,3,4,1,8,3,2,1
TGME49_201660,8,12,5,8,8,13,5,5
TGME49_201670,1224,1211,629,978,1224,989,765,827
TGME49_201680,6164,6904,3705,5279,6164,6026,4402,4553
TGME49_201690,120,176,276,240,120,176,337,242
TGME49_201700,2315,2487,1507,2145,2315,2186,1830,1824
TGME49_201710,600,767,377,533,600,738,452,469
TGME49_201720,532,630,353,447,532,549,390,375
TGME49_201730,48,66,34,53,48,71,44,49
TGME49_201740,482,621,366,491,482,552,448,456
TGME49_201750,0,0,0,1,0,0,0,0
TGME49_201760,1546,1655,1026,1521,1546,1540,1145,1303
TGME49_201770,1621,1869,1179,1526,1621,1777,1321,1285
TGME49_201775,2,5,3,3,2,5,0,1
TGME49_201780,32936,53441,31291,40660,32936,54644,36130,33510
TGME49_201785,7426,13503,6696,9852,7426,13903,7843,7966
TGME49_201790,990,1269,684,1011,990,1293,750,866
TGME49_201800,1208,1431,803,1085,1208,1368,916,893
TGME49_201810,1626,1733,1026,1585,1626,1574,1210,1391
TGME49_201820,1481,1890,1149,1894,1481,1593,1417,1574
TGME49_201830,310,420,208,286,310,422,241,286
TGME49_201840,3131,4350,3602,3591,3131,3832,4508,3239
TGME49_201850,49,58,49,40,49,53,45,31
TGME49_201860,10794,9914,7366,10688,10794,9039,8466,9149
TGME49_201870,936,1082,691,994,936,986,902,810
TGME49_201880,2881,3522,2028,2638,2881,3206,2223,2310
TGME49_201890,2,1,2,0,2,2,4,0
TGME49_201895,2,1,0,0,2,0,0,0
TGME49_201900,998,1282,695,972,998,1135,828,860
TGME49_202010,588,864,628,882,588,772,742,754
TGME49_202020,67,94,127,66,67,77,162,84
TGME49_202025,10,1,20,3,10,6,27,5
TGME49_202030,3047,3557,2069,2550,3047,3369,2425,2242
TGME49_202040,1541,1475,994,1458,1541,1381,1084,1422
TGME49_202050,9,5,3,7,9,5,4,5
TGME49_202060,0,0,0,1,0,1,0,0
TGME49_202065,0,2,0,1,0,0,2,1
TGME49_202070,2178,2142,1260,2030,2178,1907,1777,1790
TGME49_202080,707,795,541,704,707,835,633,591
TGME49_202090,12,10,3,8,12,11,5,6
TGME49_202100,2,1,0,3,2,4,0,0
TGME49_202110,1,3,0,1,1,1,1,0
TGME49_202120,1931,2061,1173,1673,1931,1743,1408,1440
TGME49_202140,0,1,1,3,0,1,2,2
TGME49_202160,763,922,495,716,763,932,558,570
TGME49_202170,336,379,226,291,336,338,277,215
TGME49_202180,899,1110,577,752,899,984,691,674
TGME49_202190,1386,1431,774,1222,1386,1313,957,1037
TGME49_202200,6126,4623,3480,5156,6126,4300,4062,4816
TGME49_202205,2,4,1,3,2,6,0,1
TGME49_202210,1,3,0,0,1,2,0,1
TGME49_202220,1137,1453,1025,1422,1137,1324,1221,1235
TGME49_202230,1069,1406,720,1024,1069,1276,856,870
TGME49_202240,679,742,417,635,679,679,567,532
TGME49_202250,1157,1575,853,1134,1157,1423,1008,1009
TGME49_202255,229,361,145,217,229,310,173,181
TGME49_202260,3,1,0,0,3,0,0,2
TGME49_202280,523,665,469,648,523,558,581,538
TGME49_202285,16,23,16,22,16,14,12,14
TGME49_202290,968,1105,518,732,968,1013,645,690
TGME49_202300,1323,1625,811,1166,1323,1573,1005,1053
TGME49_202310,1132,1602,773,1078,1132,1585,861,977
TGME49_202320,0,0,0,0,0,0,0,0
TGME49_202330,0,0,1,0,0,0,0,1
TGME49_202340,2,3,1,1,2,6,2,1
TGME49_202350,863,1110,589,721,863,924,656,624
TGME49_202360,594,788,390,448,594,737,461,405
TGME49_202370,3958,4791,2457,3439,3958,4244,2946,2968
TGME49_202375,1393,1242,811,1104,1393,1078,1040,1005
TGME49_202380,2949,3723,2008,2982,2949,3274,2402,2591
TGME49_202390,1768,2839,1743,2104,1768,2709,1951,1732
TGME49_202400,6,28,6,5,6,20,10,12
TGME49_202410,1435,1706,824,1443,1435,1572,1092,1264
TGME49_202420,584,405,331,531,584,389,433,448
TGME49_202430,473,649,556,537,473,584,657,503
TGME49_202440,691,785,463,648,691,744,602,579
TGME49_202445,1,3,0,4,1,1,6,3
TGME49_202450,479,584,276,461,479,578,395,395
TGME49_202460,1234,1242,819,1181,1234,1121,927,1000
TGME49_202470,1605,2011,1096,1423,1605,1808,1287,1283
TGME49_202480,581,719,461,574,581,696,516,453
TGME49_202490,8054,5313,3423,5472,8054,4653,4333,4746
TGME49_202500,10358,13697,8374,12058,10358,12199,9679,10129
TGME49_202510,635,675,404,590,635,566,453,547
TGME49_202520,1455,1776,1018,1504,1455,1786,1291,1271
TGME49_202530,1738,2108,1155,1400,1738,1930,1295,1277
TGME49_202540,4914,5057,2980,4799,4914,4596,3682,4138
TGME49_202550,1416,1994,1262,1742,1416,1792,1594,1475
TGME49_202568,473,633,335,434,473,575,368,388
TGME49_202572,653,778,480,600,653,749,542,533
TGME49_202580,246,300,171,275,246,271,198,256
TGME49_202590,785,990,539,745,785,920,627,650
TGME49_202600,3,1,8,1,3,6,4,3
TGME49_202610,7964,10619,5596,7886,7964,10153,6766,6729
TGME49_202620,8673,12682,6844,9334,8673,12768,7930,8090
TGME49_202630,2506,2926,1961,2415,2506,2690,2174,2048
TGME49_202640,396,452,225,318,396,358,279,297
TGME49_202650,820,981,565,824,820,891,674,745
TGME49_202660,1,6,3,2,1,3,3,2
TGME49_202670,3,6,4,2,3,4,1,2
TGME49_202680,3631,4796,2678,3695,3631,4182,3082,3116
TGME49_202690,748,874,494,678,748,808,567,514
TGME49_202700,578,737,383,512,578,677,431,426
TGME49_202720,534,588,337,503,534,485,444,439
TGME49_202730,178,153,152,173,178,124,154,170
TGME49_202735,0,1,0,0,0,0,0,0
TGME49_202740,473,549,330,405,473,540,394,323
TGME49_202750,734,1041,529,698,734,964,624,591
TGME49_202760,599,764,472,539,599,744,520,454
TGME49_202770,6959,9215,4271,6186,6959,8970,5234,5326
TGME49_202780,4454,6929,3393,5005,4454,6506,4567,4207
TGME49_202790,559,715,365,517,559,689,419,444
TGME49_202800,490,606,299,477,490,586,343,417
TGME49_202810,600,846,389,565,600,785,503,462
TGME49_202820,2982,3329,1913,2332,2982,3154,2243,2054
TGME49_202830,7839,10340,5763,7473,7839,10648,6421,6485
TGME49_202840,8724,11361,6794,9929,8724,10631,7781,7703
TGME49_202850,544,651,335,505,544,562,367,401
TGME49_202860,670,887,472,640,670,821,497,577
TGME49_202870,676,690,416,587,676,655,512,530
TGME49_202880,637,769,536,645,637,698,655,616
TGME49_202890,2826,3887,1963,2813,2826,3648,2383,2381
TGME49_202895,0,0,0,0,0,0,0,0
TGME49_202900,3965,5084,2449,3452,3965,4740,3147,3134
