Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
A1BG,8,4,5,1,7,5,25,5
A1BG-AS1,1,1,1,2,4,2,7,2
A1CF,0,0,1,0,0,0,0,1
A2M,0,0,2,0,0,0,8,0
A2M-AS1,0,0,0,0,0,0,1,1
A2ML1,2,2,5,3,0,17,24,10
A2ML1-AS1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0
A3GALT2,3,0,0,0,6,8,10,0
A4GALT,0,0,1,1,2,1,5,0
A4GNT,0,2,0,0,1,0,0,0
AA06,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,1
AAAS_1,0,0,0,0,0,0,0,0
AACS,44,25,46,21,82,63,151,60
AACSP1,0,0,0,0,1,0,0,1
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,1,0
AADACL2_1,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,1,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,0,0,1,0,0,0,0,0
AAGAB,420,288,140,252,1140,981,1026,1195
AAK1,264,138,193,90,470,299,1206,286
AAMDC,6,7,6,3,9,8,14,9
AAMP,215,165,162,107,441,384,717,364
AANAT,4,7,6,5,32,26,29,24
AAR2,48,51,48,19,97,85,251,62
AARD,0,0,0,0,0,0,1,1
AARS1,238,202,181,109,190,107,699,112
AARS2,37,24,36,19,74,45,181,37
AARSD1,0,0,0,0,0,0,0,0
AASDH,28,11,11,2,47,15,105,24
AASDHPPT,70,56,32,31,166,118,285,132
AASS,1,3,7,3,10,4,41,9
AATBC,14,2,7,5,12,4,13,4
AATF,0,0,0,0,0,0,0,0
AATF_1,1,3,0,0,1,0,1,0
AATK,3450,3833,1416,2443,13505,18309,10107,15019
ABALON,4,3,3,0,26,8,19,6
ABAT,72,133,157,39,157,393,1102,157
ABCA1,3567,1902,1684,1677,7628,4338,8251,5349
ABCA10,3,3,1,4,1,8,13,4
ABCA11P,9,10,5,6,21,17,40,31
ABCA12,0,0,1,0,0,0,0,1
ABCA13,2,7,11,9,11,24,75,36
ABCA17P,1,0,0,0,0,0,0,0
ABCA2,194,266,248,97,608,651,1285,404
