Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
A1BG,8,4,5,1,4,1,4,1
A1BG-AS1,1,1,1,2,2,3,1,1
A1CF,0,0,1,0,0,0,0,0
A2M,0,0,2,0,1,0,0,0
A2M-AS1,0,0,0,0,0,0,0,0
A2ML1,2,2,5,3,1,1,4,5
A2ML1-AS1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0
A3GALT2,3,0,0,0,1,1,1,1
A4GALT,0,0,1,1,4,0,0,0
A4GNT,0,2,0,0,1,1,0,1
AA06,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,0
AAAS_1,0,0,0,0,0,0,0,0
AACS,44,25,46,21,36,26,48,26
AACSP1,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,0,0
AADACL2_1,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,0,0,1,0,0,1,0,0
AAGAB,420,288,140,252,113,91,104,81
AAK1,264,138,193,90,188,151,289,134
AAMDC,6,7,6,3,4,8,5,4
AAMP,215,165,162,107,139,143,180,97
AANAT,4,7,6,5,0,0,8,1
AAR2,48,51,48,19,28,36,65,13
AARD,0,0,0,0,0,0,1,2
AARS1,238,202,181,109,190,239,271,170
AARS2,37,24,36,19,28,26,50,16
AARSD1,0,0,0,0,0,0,0,0
AASDH,28,11,11,2,33,11,11,17
AASDHPPT,70,56,32,31,50,54,53,35
AASS,1,3,7,3,2,3,7,1
AATBC,14,2,7,5,0,0,3,1
AATF,0,0,0,0,0,0,0,0
AATF_1,1,3,0,0,0,3,0,0
AATK,3450,3833,1416,2443,2259,3353,1503,1296
ABALON,4,3,3,0,1,1,0,0
ABAT,72,133,157,39,285,658,359,176
ABCA1,3567,1902,1684,1677,1276,711,1629,821
ABCA10,3,3,1,4,0,1,2,1
ABCA11P,9,10,5,6,8,7,6,8
ABCA12,0,0,1,0,0,0,0,0
ABCA13,2,7,11,9,0,5,4,6
ABCA17P,1,0,0,0,0,0,0,0
ABCA2,194,266,248,97,221,302,298,117
ABCA3,3,4,11,1,2,10,4,1
ABCA4,0,0,0,0,1,0,1,0
ABCA5,275,176,166,174,130,90,126,93
ABCA6,0,1,0,0,1,0,0,0
ABCA7,1540,2455,1121,467,1387,1582,1389,526
ABCA8,0,0,0,0,0,0,0,0
ABCA9,0,0,0,0,1,0,0,0
ABCA9-AS1,0,0,0,0,0,0,0,0
ABCB1,36,14,85,22,29,13,99,8
ABCB10,44,72,30,36,66,62,50,61
ABCB11,0,0,1,0,0,0,1,0
ABCB11_1,0,0,2,0,0,0,0,0
ABCB4,7,2,5,10,2,4,8,9
ABCB5,0,0,0,0,0,0,0,0
ABCB6,31,23,16,11,34,34,23,15
ABCB7,42,20,33,24,37,31,41,25
ABCB8,53,52,66,30,19,14,60,16
ABCB9,3,1,1,0,1,4,3,3
ABCC1,44,23,12,6,19,9,13,2
ABCC1_1,44,37,23,18,12,11,23,11
