Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
A1BG,4,1,4,1,7,5,25,5
A1BG-AS1,2,3,1,1,4,2,7,2
A1CF,0,0,0,0,0,0,0,1
A2M,1,0,0,0,0,0,8,0
A2M-AS1,0,0,0,0,0,0,1,1
A2ML1,1,1,4,5,0,17,24,10
A2ML1-AS1,0,0,0,0,0,0,0,0
A2MP1,0,0,0,0,0,0,0,0
A3GALT2,1,1,1,1,6,8,10,0
A4GALT,4,0,0,0,2,1,5,0
A4GNT,1,1,0,1,1,0,0,0
AA06,0,0,0,0,0,0,0,0
AAAS,0,0,0,0,0,0,0,1
AAAS_1,0,0,0,0,0,0,0,0
AACS,36,26,48,26,82,63,151,60
AACSP1,0,0,0,0,1,0,0,1
AADAC,0,0,0,0,0,0,0,0
AADACL2,0,0,0,0,0,0,1,0
AADACL2_1,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,1,0
AADACL2-AS1_1,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0
AADACP1,0,0,0,0,0,0,0,0
AADAT,0,1,0,0,0,0,0,0
AAGAB,113,91,104,81,1140,981,1026,1195
AAK1,188,151,289,134,470,299,1206,286
AAMDC,4,8,5,4,9,8,14,9
AAMP,139,143,180,97,441,384,717,364
AANAT,0,0,8,1,32,26,29,24
AAR2,28,36,65,13,97,85,251,62
AARD,0,0,1,2,0,0,1,1
AARS1,190,239,271,170,190,107,699,112
AARS2,28,26,50,16,74,45,181,37
AARSD1,0,0,0,0,0,0,0,0
AASDH,33,11,11,17,47,15,105,24
AASDHPPT,50,54,53,35,166,118,285,132
AASS,2,3,7,1,10,4,41,9
AATBC,0,0,3,1,12,4,13,4
AATF,0,0,0,0,0,0,0,0
AATF_1,0,3,0,0,1,0,1,0
AATK,2259,3353,1503,1296,13505,18309,10107,15019
ABALON,1,1,0,0,26,8,19,6
ABAT,285,658,359,176,157,393,1102,157
ABCA1,1276,711,1629,821,7628,4338,8251,5349
ABCA10,0,1,2,1,1,8,13,4
ABCA11P,8,7,6,8,21,17,40,31
ABCA12,0,0,0,0,0,0,0,1
ABCA13,0,5,4,6,11,24,75,36
ABCA17P,0,0,0,0,0,0,0,0
ABCA2,221,302,298,117,608,651,1285,404
ABCA3,2,10,4,1,7,2,20,2
ABCA4,1,0,1,0,0,0,1,0
ABCA5,130,90,126,93,223,99,298,152
ABCA6,1,0,0,0,9,3,11,2
ABCA7,1387,1582,1389,526,1918,3693,4358,1277
ABCA8,0,0,0,0,0,0,0,0
ABCA9,1,0,0,0,2,2,1,1
ABCA9-AS1,0,0,0,0,0,0,0,0
ABCB1,29,13,99,8,105,43,550,62
ABCB10,66,62,50,61,52,30,146,35
ABCB11,0,0,1,0,0,0,0,0
ABCB11_1,0,0,0,0,0,0,0,0
ABCB4,2,4,8,9,11,9,48,30
ABCB5,0,0,0,0,2,0,0,0
ABCB6,34,34,23,15,30,82,70,36
ABCB7,37,31,41,25,99,36,150,68
ABCB8,19,14,60,16,77,109,236,77
ABCB9,1,4,3,3,4,4,8,6
ABCC1,19,9,13,2,161,108,100,52
ABCC1_1,12,11,23,11,132,213,131,105
ABCC10,46,45,59,18,114,83,351,92
ABCC11,0,0,1,2,3,1,2,1
ABCC12,0,0,0,0,0,0,0,0
ABCC13,0,0,0,0,0,0,1,0
ABCC2,30,34,27,23,50,75,107,72
ABCC3,6,14,6,0,17,39,23,16
ABCC4,6,13,15,6,34,23,71,26
ABCC5,373,696,182,183,383,1162,679,493
ABCC5-AS1,0,0,0,0,0,2,1,0
ABCC6,1,1,1,0,1,1,0,2
ABCC6_1,0,1,0,1,0,12,5,1
ABCC6P1,1,0,0,1,2,2,16,2
ABCC6P1_1,0,0,0,0,0,0,0,0
ABCC6P2,0,0,0,0,0,0,0,0
ABCC6P2_1,0,0,0,0,0,0,0,0
ABCC8,0,0,0,0,0,0,1,0
ABCC9,0,0,1,0,0,0,0,0
ABCD1,52,89,34,31,87,210,204,105
ABCD2,7,0,3,0,10,4,19,12
ABCD3,107,97,68,72,74,51,205,54
ABCD4,43,35,87,27,167,110,373,119
ABCE1,37,31,60,16,112,38,249,32
ABCF1,0,0,5,0,1,1,0,0
ABCF1_1,0,0,0,0,0,0,0,0
ABCF1_2,0,0,0,0,0,1,0,0
ABCF1_3,0,0,0,0,1,2,35,0
ABCF1_4,0,9,1,0,2,1,4,7
ABCF1_5,0,0,0,0,0,0,0,0
ABCF1_6,3,1,0,0,0,0,3,2
ABCF1-DT,0,0,0,0,0,0,0,0
ABCF2,9,5,25,7,31,20,65,24
ABCF2-H2BK1,0,0,0,0,0,0,2,0
ABCF3,426,676,355,306,383,515,672,317
ABCG1,1181,1612,1637,528,1198,836,4439,948
ABCG2,1,0,2,0,2,0,8,0
ABCG4,1,1,0,0,0,0,0,0
ABCG5,0,0,0,0,0,0,1,0
ABCG8,0,0,1,0,0,1,1,0
ABHD1,0,1,0,3,2,2,3,0
ABHD10,19,19,34,9,40,33,132,42
ABHD11,157,296,100,78,24,73,89,38
ABHD11-AS1,0,0,1,0,0,0,0,1
ABHD12,113,157,146,124,62,46,136,33
ABHD12B,11,1,3,5,9,9,9,9
ABHD13,179,150,99,91,742,392,679,391
ABHD14A,2,1,1,0,3,3,21,0
ABHD14A-ACY1,0,0,0,0,0,0,0,0
ABHD14B,12,9,38,11,64,51,210,37
ABHD15,22,15,47,10,109,47,343,62
ABHD16A,0,0,0,0,0,1,0,0
ABHD16A_1,0,0,0,0,0,0,0,0
ABHD16A_2,1,0,0,0,1,0,0,1
ABHD16A_3,0,0,0,0,0,0,2,0
ABHD16A_4,0,0,0,0,0,12,0,0
ABHD16A_5,0,1,0,0,0,0,0,1
ABHD16A_6,0,0,0,0,0,82,0,2
ABHD16B,0,0,0,0,0,0,0,0
ABHD17A,338,480,474,264,605,735,1234,460
ABHD17B,48,53,56,38,100,120,190,95
ABHD17C,56,238,31,40,16,16,18,5
ABHD18,117,134,129,99,189,133,319,187
ABHD2,4347,5813,3183,2737,4839,9250,11490,6429
ABHD3,493,484,199,138,652,851,724,344
ABHD4,630,814,685,416,1474,2635,2658,1762
ABHD5,1795,1709,821,985,613,1229,2140,1338
ABHD6,5,4,12,5,5,7,40,15
ABHD8,30,52,44,19,75,125,244,89
ABI1,614,640,532,371,3110,2428,3170,2077
ABI2,25,7,27,10,52,27,154,20
ABI3,38,74,78,25,114,232,451,163
ABI3BP,0,1,0,0,4,4,6,0
ABITRAM,94,87,62,87,72,73,160,93
ABL1,49,35,153,30,166,73,527,105
ABL2,137,208,177,115,183,57,247,60
ABLIM1,280,161,813,163,1086,483,4231,615
ABLIM2,0,2,1,0,2,1,10,5
ABLIM3,4,10,4,1,9,29,6,5
ABO,2,0,2,0,2,2,3,3
ABO_1,0,1,0,1,3,3,1,2
ABR,18,32,11,9,20,121,40,21
ABR_1,1,1,0,0,1,1,1,2
ABR_2,0,0,5,1,1,4,89,1
ABRA,0,0,0,0,0,0,0,0
ABRACL,74,78,56,64,362,450,510,295
ABR-AS1,0,0,0,0,0,0,0,0
ABR-AS1_1,0,0,0,0,0,0,0,0
ABRAXAS1,16,17,8,15,48,51,75,23
ABRAXAS2,25,31,44,25,95,113,226,113
ABT1,0,13,0,15,0,31,0,30
ABT1_1,29,22,32,13,36,26,79,26
ABTB1,3160,3619,2268,1678,3982,14107,12629,9739
ABTB2,228,369,258,222,352,414,443,317
ABTB3,55,30,132,18,214,105,507,97
ACAA1,801,1397,866,542,7290,7068,7701,4840
ACAA2,121,206,142,118,49,24,140,34
ACACA,0,0,1,0,1,0,0,0
ACACA_1,0,0,0,0,1,1,0,1
ACACB,63,38,53,24,98,32,147,55
ACAD10,65,70,59,46,152,207,297,176
ACAD11,0,0,0,0,0,0,0,0
ACAD8,86,84,71,44,130,76,334,117
ACAD9,109,218,150,99,64,148,205,68
ACAD9-DT,1,2,4,2,6,19,7,3
ACADL,0,0,0,0,0,0,0,0
ACADM,9,29,34,14,50,36,123,29
ACADS,21,32,23,10,23,31,83,27
ACADSB,19,13,34,16,67,36,199,51
ACADVL,893,898,682,449,1682,2080,1970,968
ACAN,0,0,1,0,0,0,1,0
ACAP1,0,0,0,0,0,0,0,0
ACAP1_1,0,1,0,0,1,0,0,0
ACAP2,1332,1119,836,645,3765,2801,4088,2565
ACAP3,392,722,495,384,259,333,594,227
ACAT1,22,27,27,8,17,23,69,7
ACAT2,97,113,413,86,450,372,625,205
ACBD3,74,117,82,49,249,309,471,283
ACBD3-AS1,0,0,0,0,1,0,3,0
ACBD4,13,10,27,9,59,34,107,26
ACBD5,217,223,129,120,184,359,466,253
ACBD6,11,21,27,5,27,17,107,17
ACBD7,0,0,0,0,0,0,2,0
ACBD7-DCLRE1CP1,0,0,0,0,0,0,0,0
ACCS,29,43,98,10,95,93,522,112
ACCSL,1,0,0,0,0,0,0,0
ACD,1455,2046,1456,961,526,216,521,201
ACE,5,1,8,1,15,4,21,1
ACE2,2,0,0,0,0,0,1,0
ACE2-DT,0,0,0,0,0,0,0,0
ACER1,0,0,0,0,1,1,3,0
ACER2,1,1,5,2,4,1,13,2
ACER3,122,162,137,67,183,258,276,84
ACHE,0,1,3,6,4,1,11,6
ACIN1,1350,1348,1429,1032,3103,3031,5342,3147
ACKR1,0,0,0,0,0,0,0,0
ACKR2,6,8,1,1,15,2,22,8
ACKR3,4,1,12,1,82,15,43,5
ACKR4,0,0,0,0,0,1,4,0
ACLY,419,495,488,251,708,576,1436,597
ACMSD,1,4,1,2,2,3,7,4
ACO1,95,31,77,20,1030,259,1161,382
ACO2,110,173,173,97,350,277,524,251
ACOD1,0,0,15,0,1208,358,1109,383
ACOT1,0,0,0,2,1,0,8,0
ACOT11,3,3,1,2,8,7,10,7
ACOT12,0,3,2,1,4,5,7,5
ACOT13,107,232,93,105,355,767,670,437
ACOT2,6,5,12,2,24,18,55,8
ACOT4,0,0,0,1,1,0,4,0
ACOT6,0,0,0,0,0,0,0,0
ACOT7,2,1,6,0,11,6,44,7
ACOT8,32,37,34,16,75,118,174,71
ACOT9,1319,1769,1177,918,4712,3093,3062,2097
ACOX1,874,684,615,384,6928,3636,10367,4378
ACOX2,1,0,0,0,0,0,1,0
ACOX3,87,138,370,147,187,189,335,149
ACOXL,4,11,4,6,3,14,15,8
ACOXL-AS1,0,1,0,0,0,1,2,1
ACP1,75,94,107,60,87,59,248,64
ACP2,41,77,76,46,116,122,186,96
ACP3,93,72,54,45,191,192,278,193
ACP4,0,0,0,1,1,0,1,0
ACP5,67,57,103,66,214,216,597,346
ACP6,103,78,229,127,145,353,608,140
ACP7,1,1,0,0,0,2,2,0
ACR,0,0,0,0,0,0,0,0
ACR_1,0,0,0,0,0,0,0,0
ACRBP,14,22,10,6,68,151,117,75
ACRV1,0,2,0,0,0,0,0,0
ACSBG1,0,0,0,0,1,1,1,0
ACSBG2,0,0,0,0,1,0,2,0
ACSF2,9,6,9,5,29,18,52,22
ACSF3,52,17,49,20,93,56,194,51
ACSL1,10037,14170,11230,6425,111649,48196,57909,55913
ACSL3,304,554,227,425,311,217,369,267
ACSL3-AS1,3,3,1,5,6,0,3,3
ACSL4,1084,806,319,386,2845,1758,1988,2318
ACSL5,172,330,717,270,7246,6720,7658,6251
ACSL6,4,1,14,0,26,10,74,4
ACSL6-AS1,0,0,0,0,0,0,0,0
ACSM1,1,0,1,2,9,4,15,9
ACSM2A,0,0,0,0,0,0,0,0
ACSM2B,0,0,0,0,0,0,0,0
ACSM3,21,18,8,8,67,18,132,43
ACSM4,0,0,0,0,0,0,0,0
ACSM5,0,0,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0,1,0
ACSS1,65,40,106,49,185,189,562,237
ACSS2,1170,1657,1170,768,204,372,379,199
ACSS3,0,0,0,0,1,0,0,0
ACTA1,17,26,14,22,1,1,2,1
ACTA2,12,3,4,2,54,28,62,35
ACTA2-AS1,1,0,0,0,4,0,7,0
ACTB,40872,86097,35560,28530,89262,225759,131101,82849
ACTBL2,0,1,0,1,1,0,0,0
ACTC1,0,0,0,0,1,0,0,1
ACTE1P,0,0,0,0,0,0,0,0
ACTG1,7,7,3,1,4,7,5,7
ACTG1_1,2,2,1,1,3,6,3,3
ACTG1P17,0,0,1,0,1,0,4,3
ACTG1P20,42,63,42,27,79,105,129,68
ACTG1P25,3,9,6,0,3,6,7,2
ACTG1P4,4,3,3,4,6,15,31,12
ACTG2,16,25,14,17,2,4,0,1
ACTL10,2,1,6,3,7,5,21,6
ACTL6A,36,37,48,40,54,42,185,44
ACTL6B,0,0,0,1,1,0,0,0
ACTL7A,0,0,0,0,0,0,0,0
ACTL7B,0,0,0,0,0,0,1,0
ACTL8,0,0,0,0,0,0,0,0
ACTL9,0,0,0,0,0,0,1,0
ACTMAP,17,28,31,14,50,89,137,79
ACTN1,6213,8310,4963,4179,1866,4877,4798,2190
ACTN1-DT,0,2,2,1,0,1,0,0
ACTN2,0,0,1,0,0,0,0,0
ACTN3,0,0,0,0,0,0,0,0
ACTN4,0,0,0,0,0,0,0,0
ACTN4_1,2,0,0,0,0,2,0,0
ACTR10,176,262,224,144,697,757,948,567
ACTR1A,453,508,625,313,2898,2918,3882,2639
ACTR1B,0,0,0,0,0,0,0,0
ACTR1B_1,0,0,15,0,0,0,0,0
ACTR2,2349,3132,2007,1478,13985,12477,15396,9727
ACTR3,2446,3378,3090,1886,15311,14830,16045,11452
ACTR3-AS1,2,4,3,2,10,17,24,10
