"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","diffexp"
"A1BG",4.52085044566506,0.289157795625717,0.781343359742088,0.370077753935433,0.711324557036374,0.838514511832492,"insignificant"
"A1BG-AS1",2.43849234293584,-0.605660513097785,0.94043967875656,-0.644018459428023,0.519563463916418,0.701882347029547,"insignificant"
"AACS",52.5898009554093,-0.295015342022446,0.295531846364974,-0.998252288716493,0.318157036891882,0.516043252745125,"insignificant"
"AAGAB",409.558710976906,1.9429046637837,0.33678091076616,5.76904628995653,7.97214060846734e-09,1.05812048076021e-07,"up"
"AAK1",299.485313354272,-0.211198967383406,0.318988145719898,-0.662090332249708,0.507913331306741,0.691698936580705,"insignificant"
"AAMDC",7.29405627947738,-0.695764516785736,0.57317984550535,-1.21386772797691,0.224798238205793,0.407995488973009,"insignificant"
"AAMP",248.550037039101,0.136215380729004,0.193938387082056,0.702364203283647,0.482452063327986,0.669995345662591,"insignificant"
"AANAT",9.7936964896968,2.14780157409064,0.801104406679556,2.6810507546612,0.00733913836659865,0.026756302794224,"up"
"AAR2",59.0809400353988,0.117394332947035,0.376360813324235,0.311919649418708,0.755101588922165,0.865635512107493,"insignificant"
"AARS1",249.81901244532,-1.54478869550061,0.392345363919294,-3.93731859112365,8.2397179633732e-05,0.000503824082185554,"down"
"AARS2",45.1115521588831,-0.259787068669491,0.386320568372936,-0.67246501982443,0.501287701958016,0.686567204066688,"insignificant"
"AASDH",27.8272798050203,-0.465454289650285,0.545114991318896,-0.85386440854273,0.393180122012328,0.591854446869253,"insignificant"
"AASDHPPT",88.0538222636843,0.200186424502188,0.24928550700593,0.803040766013828,0.421951172534281,0.618557956440327,"insignificant"
"AASS",6.21829025739456,0.514748377482476,0.758256420400958,0.678857921453909,0.497227889561225,0.68321928605607,"insignificant"
"AATBC",3.00976504333647,1.38296922988729,1.06181766541519,1.30245453144398,0.19276105157524,0.365089353710314,"insignificant"
"AATK",6174.65165489869,1.29770442873398,0.420270352055552,3.08778485654978,0.00201654403411761,0.00878357316971691,"up"
"ABALON",4.40948092225877,3.21511500065839,1.18877447335671,2.70456261697811,0.0068394377982734,0.0252618471040762,"up"
"ABAT",409.539867539939,-1.52098190365046,0.46720681671873,-3.2554788355456,0.00113201333211043,0.00527364188071673,"down"
"ABCA1",2742.16078966229,0.926324084846794,0.315660988810129,2.93455358021444,0.00334027877657984,0.0136576365512152,"up"
"ABCA10",2.51781775220973,0.988451277230796,1.1098411806745,0.890624077068459,0.373130877961527,0.572420050290701,"insignificant"
"ABCA11P",14.2321011843539,0.25775639997109,0.495753646961948,0.519928399015639,0.603113480836854,0.764312498315685,"insignificant"
"ABCA13",12.971871569327,1.49478924663034,0.708002798147341,2.11127590249899,0.0347486040535977,0.0973162135963586,"insignificant"
"ABCA2",385.44359868779,-0.0059266362009335,0.242877805460343,-0.0244017199912538,0.980532176380709,0.991056214931335,"insignificant"
"ABCA3",5.08371461461541,-0.930679652461033,0.833059790511602,-1.11718229959158,0.263916387177877,0.45620636903312,"insignificant"
"ABCA5",147.907567522131,-0.868307655220221,0.316028529208792,-2.7475609793651,0.00600403429618874,0.0225749355606941,"down"
"ABCA6",1.79587529474573,2.61189803104422,1.37833262883991,1.89496931030542,0.0580964676398239,0.146645943473528,"insignificant"
"ABCA7",1755.3561806417,-0.409867595220398,0.346655201987853,-1.1823494725308,0.237067063019102,0.423214888370472,"insignificant"
"ABCB1",69.1046319439847,0.517008428658782,0.68900457498622,0.75037009539323,0.453031836538454,0.645353525613872,"insignificant"
"ABCB10",69.5321711249535,-1.72212771634517,0.385436373423723,-4.46799481078548,7.89562207739896e-06,5.97680513948171e-05,"down"
"ABCB4",11.8945934993074,0.322908263337806,0.672305881878093,0.480299625574833,0.631014355079138,0.784264156984903,"insignificant"
"ABCB6",37.7500104230877,-0.548133674193534,0.425515037944335,-1.28816522405782,0.1976884546847,0.371831128427372,"insignificant"
"ABCB7",52.0428465015843,-0.290986573695994,0.360390595933963,-0.807419996467703,0.419424550120616,0.616021100661161,"insignificant"
"ABCB8",54.2866302714995,0.528592305574082,0.434175131936793,1.21746333839091,0.223427977068956,0.406175422661713,"insignificant"
"ABCB9",3.98725334724065,-0.640601665273955,0.771351088756951,-0.830492981226355,0.406260114538556,0.60442022946928,"insignificant"
"ABCC1",38.8614821848833,1.77909682705301,0.524373938740705,3.39280176914502,0.000691816832521587,0.00340106648669126,"up"
"ABCC1_1",55.1076512603906,1.83083227977634,0.439963439440991,4.16132822786948,3.16401941816817e-05,0.000212989841303048,"up"
"ABCC10",73.3545322328465,0.18847425691098,0.35295051980684,0.533996258212418,0.593344122870543,0.757815699253174,"insignificant"
"ABCC11",1.29220357071567,-0.519208136230835,1.41138258583178,-0.367872001144782,0.712968678364368,0.839526992799738,"insignificant"
"ABCC2",46.099743606994,-0.207809416507608,0.333932732933696,-0.622309213840589,0.533738563776992,0.713588993845364,"insignificant"
"ABCC3",11.9699969449601,0.415580757248402,0.670916362171588,0.619422599716113,0.535637996792897,0.714676578874634,"insignificant"
"ABCC4",18.215525583577,0.263863663711431,0.425023030436104,0.620822037433333,0.534716721814704,0.714186242064759,"insignificant"
"ABCC5",500.750054249737,-0.590551890779372,0.500312535467484,-1.18036596909884,0.237854690824542,0.424082856589932,"insignificant"
"ABCC6P1",1.70882731669645,1.48077596013901,1.39212596214287,1.06367958101987,0.287473877539992,0.482548579729001,"insignificant"
"ABCD1",86.0814376854608,-0.0419870774918147,0.415964791630148,-0.100939017764627,0.91959886956827,0.961798206897098,"insignificant"
"ABCD2",5.03437525698574,0.558231347998858,0.903528277562366,0.617834949786976,0.536684142539386,0.715640512660653,"insignificant"
"ABCD3",99.1370016503747,-1.65736449116123,0.344680043575158,-4.80841441810899,1.5213213245017e-06,1.35154815258257e-05,"down"
"ABCD4",88.2672768594441,0.30799864231768,0.343966096618065,0.895433141074009,0.370555591241111,0.569923946931295,"insignificant"
"ABCE1",54.4179071556262,-0.209441377244046,0.481997141622215,-0.434528255788297,0.663904880851964,0.807927214078739,"insignificant"
"ABCF1_4",2.97720774937232,-0.914913451517591,1.23118899764629,-0.743113732551755,0.457412826208978,0.649263587857484,"insignificant"
"ABCF2",18.4482053319017,-0.0644810789594042,0.491035148025696,-0.131316626149193,0.895524839915462,0.948690478217689,"insignificant"
"ABCF3",506.876102923649,-1.5358646878994,0.29184609084648,-5.26258441031275,1.42044413586897e-07,1.52446556495896e-06,"down"
"ABCG1",1446.31226224123,-1.20061109480077,0.366995835912462,-3.27145699573319,0.00106994859662537,0.00501908308351481,"down"
"ABHD10",31.7405139464677,-0.103343061341041,0.401386845253774,-0.257464993093391,0.796819836062457,0.892170726588235,"insignificant"
"ABHD11",146.792359152694,-3.11694727734767,0.450203411816338,-6.92341993760643,4.40868357182261e-12,9.77489784491786e-11,"down"
"ABHD12",135.563273418975,-2.7435076276536,0.304282018673326,-9.01633175570259,1.94492775173913e-19,1.05984865795474e-17,"down"
